,Country Name,Country Code,Year,% of Internet_usage,Population,World population,% of World population,Region Name,Sub-region Name,IncomeGroup,GDP per capita
0,Afghanistan,AFG,2000,0.00028928,20130327,6115617907,0.003291626014921341,Asia,Southern Asia,Low income,174.930991430166
1,Afghanistan,AFG,2001,0.00472257,20284307,6198523633,0.0032724416653038837,Asia,Southern Asia,Low income,138.706821676113
2,Afghanistan,AFG,2002,0.0045614,21378117,6280690978,0.0034037842452181223,Asia,Southern Asia,Low income,178.954088379235
3,Afghanistan,AFG,2003,0.0878913,22733049,6362582991,0.003572927698099396,Asia,Southern Asia,Low income,198.871115728727
4,Afghanistan,AFG,2004,0.105809,23560654,6445292478,0.0036554825216110233,Asia,Southern Asia,Low income,221.763653873013
5,Afghanistan,AFG,2005,1.22415,24404567,6528083729,0.0037383967505788098,Asia,Southern Asia,Low income,254.184249149336
6,Afghanistan,AFG,2006,2.10712,25424094,6611938226,0.0038451802075260342,Asia,Southern Asia,Low income,274.218553561575
7,Afghanistan,AFG,2007,1.9,25909852,6696177273,0.003869349771319891,Asia,Southern Asia,Low income,376.223152003876
8,Afghanistan,AFG,2008,1.84,26482622,6781922266,0.0039048843323914325,Asia,Southern Asia,Low income,381.73323802844
9,Afghanistan,AFG,2009,3.55,27466101,6867731466,0.003999297458844469,Asia,Southern Asia,Low income,452.053705477043
10,Afghanistan,AFG,2010,4.0,28284089,6952093392,0.00406842765267616,Asia,Southern Asia,Low income,560.621505463146
11,Afghanistan,AFG,2011,5.0,29347708,7037468539,0.004170208056684287,Asia,Southern Asia,Low income,606.694676337726
12,Afghanistan,AFG,2012,5.45455,30560034,7126885659,0.00428799274496681,Asia,Southern Asia,Low income,651.417134470046
13,Afghanistan,AFG,2013,5.9,31622704,7216181695,0.00438219342812709,Asia,Southern Asia,Low income,637.087099117099
14,Afghanistan,AFG,2014,7.0,32792523,7304606193,0.00448929375979571,Asia,Southern Asia,Low income,625.054941813938
